...1,meanhighscores,percentmill,mytriggs,num_creatures1,num_creatures2,num_creatures3,players,creatureSum,TEC
265,0.2702,0,1,0,1,26,0 1 26,27,27
266,0.843,0,2,0,1,26,0 1 26,27,54
267,3.1026,0,3,0,1,26,0 1 26,27,81
268,12.2842,7.13,4,0,1,26,0 1 26,27,108
269,0.2824,0,1,0,1,27,0 1 27,28,28
270,0.8996,0,2,0,1,27,0 1 27,28,56
271,3.6485,0,3,0,1,27,0 1 27,28,84
272,14.6584,9.88,4,0,1,27,0 1 27,28,112
273,0.3004,0,1,0,1,28,0 1 28,29,29
274,1.0048,0,2,0,1,28,0 1 28,29,58
275,4.0767,0,3,0,1,28,0 1 28,29,87
276,18.1764,13.59,4,0,1,28,0 1 28,29,116
277,0.3102,0,1,0,1,29,0 1 29,30,30
278,1.0127,0,2,0,1,29,0 1 29,30,60
279,4.7,0,3,0,1,29,0 1 29,30,90
280,19.7931,15.05,4,0,1,29,0 1 29,30,120
281,0.317,0,1,0,1,30,0 1 30,31,31
282,1.1072,0,2,0,1,30,0 1 30,31,62
283,5.5523,0,3,0,1,30,0 1 30,31,93
284,23.4014,18.52,4,0,1,30,0 1 30,31,124
285,0.3331,0,1,0,1,31,0 1 31,32,32
286,1.1945,0,2,0,1,31,0 1 31,32,64
287,6.5782,0,3,0,1,31,0 1 31,32,96
288,26.091,21.11,4,0,1,31,0 1 31,32,128
289,0.3354,0,1,0,1,32,0 1 32,33,33
290,1.2636,0,2,0,1,32,0 1 32,33,66
291,7.8689,1.08,3,0,1,32,0 1 32,33,99
292,28.7905,23.16,4,0,1,32,0 1 32,33,132
293,0.3438,0,1,0,1,33,0 1 33,34,34
294,1.304,0,2,0,1,33,0 1 33,34,68
295,9.3154,3.08,3,0,1,33,0 1 33,34,102
296,31.8413,25.73,4,0,1,33,0 1 33,34,136
297,0.3599,0,1,0,1,34,0 1 34,35,35
298,1.468,0,2,0,1,34,0 1 34,35,70
299,11.353,5.89,3,0,1,34,0 1 34,35,105
300,35.64,28.71,4,0,1,34,0 1 34,35,140
301,0.3553,0,1,0,1,35,0 1 35,36,36
302,1.553,0,2,0,1,35,0 1 35,36,72
303,13.473,8.58,3,0,1,35,0 1 35,36,108
304,39.2673,31.4,4,0,1,35,0 1 35,36,144
305,0.3709,0,1,0,1,36,0 1 36,37,37
306,1.6131,0,2,0,1,36,0 1 36,37,74
307,14.6991,10.22,3,0,1,36,0 1 36,37,111
308,41.8646,33.29,4,0,1,36,0 1 36,37,148
309,0.3805,0,1,0,1,37,0 1 37,38,38
310,1.7518,0,2,0,1,37,0 1 37,38,76
311,17.4946,12.99,3,0,1,37,0 1 37,38,114
312,45.4194,35.78,4,0,1,37,0 1 37,38,152
313,0.3927,0,1,0,1,38,0 1 38,39,39
314,1.9221,0,2,0,1,38,0 1 38,39,78
315,19.9448,15.62,3,0,1,38,0 1 38,39,117
316,48.3149,37.72,4,0,1,38,0 1 38,39,156
317,0.4009,0,1,0,1,39,0 1 39,40,40
318,2.143,0,2,0,1,39,0 1 39,40,80
319,22.2138,17.96,3,0,1,39,0 1 39,40,120
320,52.3281,40.4,4,0,1,39,0 1 39,40,160
321,0.4242,0,1,0,1,40,0 1 40,41,41
322,2.3975,0,2,0,1,40,0 1 40,41,82
323,25.6633,21.09,3,0,1,40,0 1 40,41,123
324,55.4002,42.49,4,0,1,40,0 1 40,41,164
325,0.041,0,1,0,2,2,0 2 2,4,4
326,0.0853,0,2,0,2,2,0 2 2,4,8
327,0.1366,0,3,0,2,2,0 2 2,4,12
328,0.1983,0,4,0,2,2,0 2 2,4,16
329,0.0473,0,1,0,2,3,0 2 3,5,5
330,0.1035,0,2,0,2,3,0 2 3,5,10
